ISO 639-3	NAME	FAMILY	-1 (GENUS)	-2	-3	-4	-5	-6	-7	-8	-9	-10	-11	-12
ind	Indonesian	Austronesian	Malayo-Polynesian	Malayo-Sumbawan	North and East Malayo-Sumbawan	Malayic	Nuclear Malayic	Standard Malay-Indonesian						
isl	Icelandic	Indo-European	Germanic	Northwest Germanic	North Germanic	West Scandinavian	Icelandic-Faroese							
ita	Italian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Italo-Dalmatian	Italian Romance					
jav	Javanese	Austronesian	Malayo-Polynesian	Javanesic	Modern Javanese									
jpn	Japanese	Japonic												
kab	Kabyle	Afro-Asiatic	Berber	Kabyle-Atlas Berber										
kac	Southern Jingphaw	Sino-Tibetan	Brahmaputran	Jingpho-Luish	Jingpho									
kam	Kamba	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Northeast Savanna Bantu	Central Kenya Bantu				
kan	Kannada	Dravidian	South Dravidian	Tamil-Kannada	Bagada-Kannada	Kannadoid	Nuclear Kannadoid							
kas	Kashmiri	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Northwestern Zone	Kashmiric								
kat	Georgian	Kartvelian	Georgian-Zan	Georgic										
kau	Kanuri	Saharan	Western Saharan	Kanuri-Kanembu	Kanuric									
kaz	Kazakh	Turkic	Common Turkic	Kipchak	South Kipchak									
kbp	Kabiyè	Atlantic-Congo	Volta-Congo	North Volta-Congo	Gur	Central Gur	South Central Gur	Grusi	East-West Grusi	Eastern Grusi	Kabiyeic			
kea	Kabuverdianu	Creole	(Portuguese)											
khm	Khmer	Austroasiatic	Khmeric											
kik	Kikuyu	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Northeast Savanna Bantu	Central Kenya Bantu	Western Central Kenya Bantu	Kikuyu-Embu		
kin	Kinyarwanda	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Northeast Savanna Bantu	Great Lakes Bantu	Western Lakes Bantu	Kivu	West Highlands Kivu	
kir	Kyrgyz	Turkic	Common Turkic	Kipchak	East Kipchak									
kmb	Kimbundu	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	Central Western Bantu	Njila	Northern Njila	Mbundu (H.20)			
kmr	Kurmanji	Indo-European	Indo-Iranian	Iranian	Central Iranian	Northwestern Iranian	Laki-Kurdish	Kurdish						
kon	Kikongo	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	Central Western Bantu	West Coastal Bantu	Nzadic	Lweric	Dingic	Loange-Atlantic	Kikongoic
kor	Korean	Koreanic												
lao	Lao	Tai-Kadai	Kam-Tai	Dai-Beic	Daic	Central-Southwestern Tai	Wenma-Southwestern Tai	Sapa-Southwestern Tai	Southwestern Tai	Southwestern Tai PH	Lao-Thai			
lij	Ligurian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Northwestern Shifted Romance	Gallo-Italian			
lim	Limburgish	Indo-European	Germanic	Northwest Germanic	West Germanic	High German	Middle German	West Middle German	Middle Franconian	Ripuarian				
lin	Lingala	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	Central Western Bantu	North Zaire River	Rivers Bantu	Ngiri	Ngiri Riverain Ubangi	Bobangic	Bobangi-Bangala-Lingala
lit	Lithuanian	Indo-European	Balto-Slavic	Eastern Baltic										
lmo	Lombard	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Northwestern Shifted Romance	Gallo-Italian	Piemontese-Lombard		
ltg	Latgalian	Indo-European	Balto-Slavic	Eastern Baltic	Latvian									
ltz	Luxembourgish	Indo-European	Germanic	Northwest Germanic	West Germanic	High German	Middle German	West Middle German	Middle Franconian	Moselle Franconian				
lua	Luba-Kasai	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	Central Western Bantu	Luban	Luba-Kaonde	Lubaic	Bangubangu-Kasai		
lug	Ganda	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern	Narrow Bantu	East Bantu	Northeast Savanna Bantu	Great Lakes Bantu	West Nyanza	North Nyanza		
luo	Luo	Nilotic	Western Nilotic	Lwoo	Southern Lwoo	Adhola-Alur-Luo	Adhola-Luo							
lus	Mizo	Sino-Tibetan	Kuki-Chin-Naga	Kuki-Chin	Central Kuki-Chin	Core Central Kuki-Chin	Mizoic							
lvs	Latvian (Standard)	Indo-European	Balto-Slavic	Eastern Baltic	Latvian									
mag	Magahi	Indo-European	Indo-Iranian	Indo-Aryan	Bihari	Magadhan								
mai	Maithili	Indo-European	Indo-Iranian	Indo-Aryan	Bihari	Magadhan								
mal	Malayalam	Dravidian	South Dravidian	Tamil-Kannada	Tamil-Kota	Tamil-Toda	Tamil-Irula	Tamil-Kodagu	Tamil-Malayalam	Malayalamoid				
mar	Marathi	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Southern Zone	Marathic	Marathi-Konkani	Modern Marathi						
min	Minangkabau	Austronesian	Malayo-Polynesian	Malayo-Sumbawan	North and East Malayo-Sumbawan	Malayic	Nuclear Malayic	Northern Sumatra Malay	Kerinci-Minangkabau	Minangkabauic				
mkd	Macedonian	Indo-European	Balto-Slavic	Slavic	South Slavic	Eastern South Slavic	Macedo-Bulgarian							
mlg	Malagasy	Austronesian	Malayo-Polynesian	Basap-Greater Barito	Greater Barito Linkage	Southern Barito	Malagasic							
mlt	Maltese	Afro-Asiatic	Semitic	West Semitic	Central Semitic	Arabian	Arabic	North African Arabic						
mni	Meitei	Sino-Tibetan	Kuki-Chin-Naga	Manipuri										
mon	Mongolian	Mongolic-Khitan	Mongolic	Eastern Mongolic	Khlakha-Buriat									
mos	Mossi	Atlantic-Congo	Volta-Congo	North Volta-Congo	Gur	Central Gur	Northern Central Gur	Oti-Volta	Oti-Volta Occidental	Northwest Oti-Volta	Mossi-Farefare	Mossic		
mri	Maori	Austronesian	Malayo-Polynesian	Central-Eastern Malayo-Polynesian	Eastern Malayo-Polynesian	Oceanic	Central Pacific Linkage	Tokelau-Fijian	Polynesian	Northern Outlier Polynesian-East Polynesian		East Polynesian	Central Eastern Polynesian	
mya	Burmese	Sino-Tibetan	Burmo-Qiangic	Lolo-Burmese	Burmish	Southern Burmish	Mranmaic	Nuclear Mranmaic						
nld	Dutch	Indo-European	Germanic	Germanic	Northwest Germanic	West Germanic	Macro-Dutch							
nno	Nynorsk	Indo-European        Germanic        North        West Scandinavian        Norwegian	Germanic	Northwest Germanic	North Germanic	West Scandinavian	Norwegian							
nob	Bokmål 	Indo-European        Germanic        North        West Scandinavian        Norwegian	Germanic	Northwest Germanic	North Germanic	West Scandinavian	Norwegian							
npi	Nepali	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Northern Zone	Eastern Pahari								
nso	Northern Sotho	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Sotho-Makua-Venda	Sotho-Tswana S.30	Sotho		
nus	Nuer	Nilotic	Western Nilotic	Dinka-Nuer	Nuer-Reel									
nya	Nyanja	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Tumbuka-Sena-Nyanja	Sena-Nyanja	Nyanjaic			
oci	Occitan	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Southwestern Shifted Romance	Occitanic			
orm	Oromo	Afro-Asiatic	Cushitic	East Cushitic	Lowland East Cushitic	Southern Lowland East Cushitic	Mainstream Lowland East Cushitic	Oromoid	Nuclear Oromo					
ory	Oriya	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Eastern Zone	Oriya-Gauda-Kamrupa	Macro-Oriya							
pag	Pangasinan	Austronesian	Malayo-Polynesian	Northern Luzon	Meso-Cordilleran	South-Central Cordilleran	Southern Cordilleran	West Southern Cordilleran						
pan	Punjabi	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Northwestern Zone	Sindhi-Lahnda	Eastern Panjabic							
pap	Papiamento	Creole	(Portuguese)											
pes	Iranian Persian (Western Farsi)	Indo-European	Indo-Iranian	Iranian	Southwestern Iranian	Middle-Modern Persian	Modern Southwestern Iranian	Farsic-Caucasian Tat	Farsic					
pol	Polish	Indo-European	Balto-Slavic	Slavic	West Slavic	Lechitic								
por	Portuguese	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Southwestern Shifted Romance	West Ibero-Romance	Galician Romance	Macro-Portuguese	
prs	Dari	Indo-European	Indo-Iranian	Iranian	Southwestern Iranian	Middle-Modern Persian	Modern Southwestern Iranian	Farsic-Caucasian Tat	Farsic	Eastern Farsic				
pus	Pashto	Indo-European	Indo-Iranian	Iranian	Pashto									
quy	Quechua (Ayacucho)	Quechuan												
ron	Romanian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Eastern Romance	Northern Romanian	Eastern Romanian					
run	Rundi	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Northeast Savanna Bantu	Great Lakes Bantu	Western Lakes Bantu	Kivu	West Highlands Kivu	
rus	Russian	Indo-European	Balto-Slavic	Slavic	East Slavic									
sag	Sango	Creole	(Ngbandi)											
san	Sanskrit	Indo-European	Indo-Iranian	Indo-Aryan										
sat	Santali	Austroasiatic	Mundaic	North Munda	Kherwarian	Santalic								
scn	Sicilian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Italo-Dalmatian	Italian Romance					
shn	Shan	Tai-Kadai	Kam-Tai	Daic-Beic	Daic	Central-Southwestern Tai	Wenma-Southwestern Tai	Sapa-Southwestern Tai	Southwestern Tai	Southwestern Tai P				
sin	Sinhala	Indo-European	Indo-Iranian	Indo-Aryan	Dhivehi-Sinhala	Sinhalaic								
slk	Slovak	Indo-European	Balto-Slavic	Slavic	West Slavic	Czech-Slovak								
slv	Slovenian	Indo-European	Balto-Slavic	Slavic	South Slavic	Western South Slavic								
smo	Samoan	Austronesian	Malayo-Polynesian	Central-Eastern Malayo-Polynesian	Eastern Malayo-Polynesian	Oceanic	Central Pacific Linkage		Tokelau-Fijian	Polynesian	Nuclear Polynesian	Ellicean	Samoan-Tokelauan	
sna	Shona	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Shona S.10	Core Shona	Plateau Shona			
snd	Sindhi	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Northwestern Zone	Sindhi-Lahnda	Sindhic							
som	Somali	Afro-Asiatic	Cushitic	East Cushitic	Lowland East Cushitic	Southern Lowland East Cushitic	Mainstream Lowland East Cushitic	Omo-Tana	Eastern Omo-Tana					
sot	Southern Sotho	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Sotho-Makua-Venda	Sotho-Tswana S.30	Sotho		
spa	Spanish	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Southwestern Shifted Romance	West Ibero-Romance	Castilic		
sqi	Albanian	Indo-European	Albanian											
srd	Sardinian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Southern Romance	Sardo-Corsican						
srp	Serbian	Indo-European	Balto-Slavic	Slavic	South Slavic	Western South Slavic	Serbian-Croatian-Bosnian	Shtokavski	New Shtokavian	Eastern Herzegovinian Shtokavian				
ssw	Swati	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Nguni-Tsonga	Nguni (S.40)	Southern Ndebele-Lowland		
sun	Sundanese	Austronesian	Malayo-Polynesian	Malayo-Sumbawan	Sundanese-Badui									
swe	Swedish	Indo-European	Germanic	Northwest Germanic	North Germanic	North Scandinavian	East-Central Swedic	East Swedic						
swh	Swahili	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Northeast Savanna Bantu	Northeast Coastal Bantu	Coastal NEC Bantu	Sabaki-Swahili	Swahili	
szl	Silesian	Indo-European	Balto-Slavic	Slavic	West Slavic	Czech-Slovak	Czech-Lach							
tam	Tamil	Dravidian	South Dravidian	Tamil-Kannada	Tamil-Kota	Tamil-Toda	Tamil-Irula	Tamil-Kodagu	Tamil-Malayalam	Tamiloid	Tamil-Paliyan			
tat	Tatar	Turkic	Common Turkic	Kipchak	North Kipchak									
tel	Telugu	Dravidian	South Dravidian	Teluguic										
tgk	Tajik	Indo-European	Indo-Iranian	Iranian	Southwestern Iranian	Middle-Modern Persian	Modern Southwestern Iranian	Farsic-Caucasian Tat	Farsic	Eastern Farsic	Tajikic			
tgl	Tagalog	Austronesian	Malayo-Polynesian	Greater Central Philippine	Central Philippine	Tagalogic	Tagalog-Filipino							
tha	Thai	Tai-Kadai	Kam-Tai	Dai-Beic	Daic	Central-Southwestern Tai	Wenma-Southwestern Tai	Sapa-Southwestern Tai	Southwestern Tai	Southwestern Tai PH	Lao-Thai			
tir	Tigrinya	Afro-Asiatic	Semitic	West Semitic	Ethiosemitic	Tigre-Tigrinya								
tmh	Tamashek	Afro-Asiatic	Berber	Tuareg	Southern Tuareg									
ton	Tonga	Austronesian	Malayo-Polynesian	Central-Eastern Malayo-Polynesian	Eastern Malayo-Polynesian	Oceanic	Central Pacific Linkage	Tokelau-Fijian	Polynesian	Tongic				
tpi	Tok Pisin	Creole	(English)											
tsn	Tswana	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Sotho-Makua-Venda	Sotho-Makua	Sotho-Tswana (S.30)	Tswanaic	
tso	Tsonga	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Nguni-Tsonga	Tswa-Rhonga (S.50)			
tuk	Turkmen	Turkic	Common Turkic	Oghuz	Nuclear Oghuz	East Oghuz								
tum	Tumbuka	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Tumbuka-Sena-Nyanja	Tumbukic				
tur	Turkish	Turkic	Common Turkic	Oghuz	Nuclear Oghuz	West Oghuz								
twi	Twi	Atlantic-Congo	Volta-Congo	Kwa Volta-Congo	Nyo	Potou-Tano	Tano	Central Tano	Akanic	Akan				
tzm	Central Atlas Tamazight (Atlasic)	Afro-Asiatic	Berber	Kabyle-Atlas Berber	Atlas Berber	Central Moroccan Berber								
uig	Uyghur	Turkic	Common Turkic	Turkestan Turkic	Uyghur-Uzbek	Modern Uyghur-Uzbek	Uighur-Ili							
ukr	Ukrainian	Indo-European	Balto-Slavic	Slavic	East Slavic	Ukrainian-Rusyn								
umb	Umbundu	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	Central-Western Bantu	Njila	Southern Njila	Kunene	Umbundu		
urd	Urdu	Indo-European	Indo-Iranian	Indo-Aryan	Indo-Aryan Central Zone	Subcontinental Central Indo-Aryan	Western Hindi	Hindustani						
uzb	Uzbek	Turkic	Common Turkic	Turkestan Turkic	Uyghur-Uzbek	Uzbek								
vec	Venetian	Indo-European	Italic	Latino-Faliscan	Latinic	Romance	Italo-Western Romance	Western Romance	Shifted Western Romance	Northwestern Shifted Romance	Gallo-Italian			
vie	Vietnamese	Austroasiatic	Vietic	Viet-Muong										
war	Waray	Austronesian	Malayo-Polynesian	Greater Central Philippine	Central Philippine	Bisayan	Central Bisayan	Warayan	Samar-Waray					
wol	Wolof	Atlantic-Congo	North-Central Atlantic	Wolof-BKK	Wolofic									
xho	Xhosa	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Nguni-Tsonga	Nguni (S.40)	Southern Ndebele-Lowland	Zulu-Xhosa	
yid	Yiddish	Indo-European	Germanic	Northwest Germanic	West Germanic	High German	Middle German	East MIddle German						
yor	Yoruba	Atlantic-Congo	Volta-Congo	Benue-Congo	Defoid	Yoruboid	Edekiri	Ede	Eastern Ede	Southeastern Ede	Nuclear Yoruba	Lucumi-Yoruba		
yue	Yue Chinese	Sino-Tibetan	Sinitic	Middle-Modern Sinitic	Yue-Pinghua									
zlm	Malay	Austronesian	Malayo-Polynesian	Malayo-Sumbawan	North and East Malayo-Sumbawan	Malayic	Nuclear Malayic	Greater Riau-Johoric						
zul	Zulu	Atlantic-Congo	Volta-Congo	Benue-Congo	Bantoid	Southern Bantoid	Narrow Bantu	East Bantu	Southern Bantu-Makua	Nguni-Tsonga	Nguni (S.40)	Southern Ndebele-Lowland	Zulu-Xhosa	
