Language Name	Current Data 	BCP47	Code	Script	# Speakers	# Articles	Regional Langs	Family	Genus	Nucleus	Target Dialect 	Agglu?	Word Order	FLORES	FLORES Beta ETA	FLORES 200 Final ETA	Seed Data	Data Version	Amt Mono Data	Amt Public Bitext	Bitext Download	Mono Download	Seed URLs	Toxicity	Dictionary	H2 2021	Launch Status	Future Candidate
Asturian	ast	ast	ast	Latin	560,000		Spanish	Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	1225	todo-P0	---	---	TRUE	FALSE	42		
Awadhi	awa	awa_Deva	awa	Devanagari				Indo-European	Indo-Aryan	Eastern Indo-Aryan	Ayodhya	FALSE		Delivered	Delivered	Delivered	---	---	---	857694	Done	manual complete	---	FALSE	FALSE	---		
Aymara	aym	ayr	ayr	Latin				Aymaran	Aymara	Aymara		TRUE		Delivered	---	---	---	data freeze 2	989367	155853	Done	Done	---	TRUE	FALSE	15.1		
Bambara	bam	bam	bam	Latin				Mande	Manding-Vai	Manding	Standard Bambara	FALSE		Delivered	---	Delivered	Delivered	---	---	478324	Done	manual complete	---	FALSE	FALSE	---		
Bashkir	bak	bak	bak	Cyrillic				Turkic	Western Turkic	Uralian	Literary, or standard, Bashkir is based on the mountain dialect.	FALSE		Delivered	Delivered		---	---	---	550599	todo-P1	todo-P1	---	FALSE	FALSE	---		
Basque	eus	eus	eus	Latin			Spanish	Euskara	Euskara	Basque	Standard Basque, aka Euskara Batua	FALSE		Delivered	Delivered	TBC	---	---	---	2092400	todo-P1	todo-P1	---	FALSE	FALSE	---		
Belarusian 	bel	bel_Cyrl	bel	Cyrillic	3,918,000			Indo-European	Balto-Slavic	Eastern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	702318	Done	Done	---	TRUE	FALSE	24.7		
Bemba	bem	bem	bem	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Central Bemba	FALSE		Delivered	Delivered	1/21	---	---	---	747492	Done	manual complete	---	FALSE	FALSE	---		
Bengali	ben	ben_Beng	ben	Latin	267,000,000			Indo-European	Indo-Aryan	Eastern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	163805723	6984179	Done	Done	---	TRUE	FALSE	43.2		
Bhojpuri	bho	bho	bho	Devanagari				Indo-European	Indo-Aryan	Eastern Indo-Aryan	No Specific Dialect	FALSE		Delivered	Delivered	TBC	Start Jan	---	---	95	Done	manual complete	manual complete	FALSE	FALSE	---		
Bokmål (Norwegian)	nob	nob	nob	Latin				Indo-European	Germanic	Northwest Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	12774822	Done	Done	---	TRUE	FALSE	49.4		
Bosnian	bos	bos_Latn	bos	Latin				Indo-European	Balto-Slavic	Southwestern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	14324723	Done	Done	---	TRUE	FALSE	49.8		
Bulgarian	bul	bul_Cyrl	bul	Cyrillic				Indo-European	Balto-Slavic	Southeastern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	45496972	Done	Done	---	TRUE	FALSE	47.7		
Burmese	mya	mya	mya	Burmese	42,955,000			Sino-Tibetan	Tibeto-Burman	Burmish		FALSE		Delivered	---	---	---	data freeze 2	9799169	3135932	Done	Done	---	TRUE	FALSE	32.8		
Catalan	cat	cat	cat	Latin	9,177,300		Spanish	Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	1739924	Done	Done	---	TRUE	FALSE	52.9		
Cebuano	ceb	ceb	ceb	Latin				Austronesian	Greater Central Philippine	Bisayan		FALSE		Delivered	---	---	---	data freeze 2	8993627	4593876	Done	Done	---	TRUE	FALSE	49.3		
Central Atlas Tamazight (Atlasic)	tzm	tzm	tzm	Tifinagh				Atlas	Berber		Standard Amazigh	FALSE		Delivered	Delivered	Delivered	Delivered	---	---	0	Done	manual complete	manual complete	FALSE	FALSE	---		
Central Kurdish	ckb	ckb	ckb	Arabic				Indo-European	Iranian	Northwestern Iranian		FALSE		Delivered	---	---	---	data freeze 2	10465235	1111998	Done	---	---	TRUE	FALSE	38	CANDIDATE	Often deleted
Chewa (same as Nyanja)	nya	nya	nya	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	2860575	2003301	Done	Done	---	TRUE	FALSE	32.5	CANDIDATE	Often deleted
Chinese (simplified script)	zho_Hans	cmn_Hans	zho_Hans	Chinese Simplified	1,120,192,660			Sino-Tibetan	Chinese	Chinese		FALSE		Delivered	---	---	---	data freeze 2	---	0	todo-P0	todo-P0	---	FALSE	FALSE	35.6	LAUNCHED	
Chinese (traditional script)	zho_Hant	cmn_Hant	zho_Hant	Chinese Traditional				Sino-Tibetan	Chinese	Chinese		FALSE		Delivered	---	---	---	data freeze 2	---	0	todo-P0	todo-P0	---	TRUE	FALSE	---		
Chokwe	cjk	cjk	cjk	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	N/A	Delivered	---	---	---	40389	todo-P1	todo-P1	manual complete	FALSE	FALSE	---		
Croatian	hrv	hrv_Latn	hrv	Latin				Indo-European	Balto-Slavic	Southwestern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	38206252	Done	Done	---	TRUE	FALSE	44.5		
Czech	ces	ces	ces	Latin	13,398,000			Indo-European	Balto-Slavic	Western Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	48443744	Done	Done	---	TRUE	FALSE	46.5		
Danish	dan	dan	dan	Latin				Indo-European	Germanic	North Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	18536207	Done	Done	---	TRUE	FALSE	54.5		
Dari	prs	prs	prs	Perso-Arabic				Indo-European	Iranian	Southwestern Iranian	Kabuli dialect	FALSE		Delivered	Delivered	Delivered	Delivered	---	---	1012232	Done	manual complete	---	FALSE	FALSE	---		
Dholuo	luo	luo_Latn	luo	Latin				Nilo-Saharan	Nilotic	Luo-Acholi		FALSE		Delivered	---	---	---	data freeze 2	399258	479120	Done	---	---	TRUE	FALSE	22.6		
Dutch	nld	nld	nld	Latin				Indo-European	Germanic	West Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	43539715	Done	Done	---	TRUE	FALSE	38.7		
Dyula	dyu	dyu_Latn	dyu	Latin				Mande	Manding-Vai	Manding		FALSE		Delivered	---	---	---	data freeze 2	389735	1655724	Done	---	---	FALSE	FALSE	5.9		
Dzongkha	dzo	dzo	dzo	Tibetan (Joyig)				Sino-Tibetan	Tibeto-Burman	Bodish	N/A	FALSE		Delivered	Delivered	1/28	Delivered	---	---	445523	todo-P1	todo-P1	---	FALSE	FALSE	---		
English	eng	eng	eng	Latin	978,579,936			Indo-European	Germanic	West Germanic		FALSE		Delivered	---	---	---	data freeze 2	---		Done	Done	---	TRUE	FALSE	---		
Esperanto	epo	epo	epo	Latin				Artificial	Esperantic	Esperanto	N/A	FALSE		Delivered	Delivered	ETA Feb 3	---	---	---	1371779	todo-P1	todo-P1	---	FALSE	FALSE	---		Often deleted
Estonian	est	est	est	Latin				Uralic	Finnic	Estonian		FALSE		Delivered	---	---	---	data freeze 2	---	13535511	Done	Done	---	TRUE	FALSE	43.7		Often deleted
Ewe	ewe	ewe	ewe	Latin				Atlantic-Congo	Kwa	Gbe	Aŋlo dialect	FALSE		Delivered	Delivered	Delivered	---	---	---	1253339	Done	manual complete	---	FALSE	FALSE	---		
Fijian	fij	fij	fij	Latin				Austronesian	Central-Eastern Malayo-Polynesian	Tokelau-Fijian	Standard Fijian, based on the speech of Bau	FALSE		Delivered	Delivered	TBC	---	---	---	1705810	Done	manual complete	---	FALSE	FALSE	---		
Finnish	fin	fin	fin	Latin	5,770,000			Uralic	Finnic	Finnish		FALSE		Delivered	---	---	---	data freeze 2	---	33027688	Done	Done	---	TRUE	FALSE	41		
Fon	fon	fon	fon	Latin				Atlantic-Congo	Kwa	Gbe	Standard Fon	FALSE		Delivered	Delivered	TBC	---	---	---	565766	Done	manual complete	---	FALSE	FALSE	---		
French	fra	fra	fra	Latin	266,959,000			Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	60643585	Done	Done	---	TRUE	FALSE	51.9		Good
Fulfulde	ful	fuv	fuv	Latin				Atlantic-Congo	Senegambian	Fula-Wolof		FALSE		Delivered	---	---	Delivered	data freeze 2	5308	54	todo-P0	todo-P0	---	TRUE	FALSE	5.2		
Galician	glg	glg	glg	Latin			Spanish	Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	304413	Done	Done	---	TRUE	FALSE	48.3		
Ganda	lug	lug	lug	Latin	11,005,000			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	1487615	1497053	Done	Done	---	TRUE	FALSE	25.3	LAUNCHED	No translation
Georgian	kat	kat	kat	Georgian				Kartvelian	Georgian-Zan	Georgic		FALSE		Delivered	---	---	---	data freeze 2	47937041	638113	Done	Done	---	TRUE	FALSE	32.8		
German	deu	deu	deu	Latin	134,993,000			Indo-European	Germanic	West Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	39101290	Done	Done	---	TRUE	FALSE	50.8		
Greek	ell	ell_Grek	ell	Grek	13,264,500			Indo-European	Greek	Attic		FALSE		Delivered	---	---	---	data freeze 2	---	46692937	Done	Done	---	TRUE	FALSE	42.7		
Guarani	grn	grn	grn	Latin				Tupian	Tupí-Guaraní	Guaraní	N/A	FALSE		Delivered	Delivered	1/12	Start Jan	---	---	428	Done	manual complete	manual complete	FALSE	FALSE	---		No translation
Gujarati	guj	guj_Gujr	guj	Gujarati	60,933,000			Indo-European	Indo-Aryan	Western Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	64333806	2049266	Done	Done	---	TRUE	FALSE	48		
Haitian Creole	hat	hat	hat	Latin				Indo-European	Romance	French-based Creole		FALSE		Delivered	---	---	---	data freeze 2	4921524	1790454	Done	manual complete	---	TRUE	FALSE	43.3		
Hausa	hau	hau_Latn	hau	Latin	74,930,000			Afro-Asiatic	Chadic	West Chadic		FALSE		Delivered	---	---	---	data freeze 2	13291862	1689285	Done	Done	---	TRUE	FALSE	38.7	LAUNCHED	
Hebrew	heb	heb	heb	Hebr				Afro-Asiatic	Semitic	Canaanite		FALSE		Delivered	---	---	---	data freeze 2	---	32790861	Done	Done	---	TRUE	FALSE	50.5		
Hindi	hin	hin_Deva	hin	Devanagari				Indo-European	Indo-Aryan	Western Hindi		FALSE		Delivered	---	---	---	data freeze 2	330170925	6240221	Done	Done	---	TRUE	FALSE	48.4		
Hungarian	hun	hun	hun	Latin				Uralic	Hungarian	Hungarian		FALSE		Delivered	---	---	---	data freeze 2	---	48152612	Done	Done	---	TRUE	FALSE	42.5		
Icelandic	isl	isl	isl	Latin				Indo-European	Germanic	North Germanic		FALSE		Delivered	---	---	---	data freeze 2	---	2895165	Done	Done	---	TRUE	FALSE	39.9	LAUNCHED 	Often deleted
Igbo	ibo	ibo	ibo	Latin				Atlantic-Congo	Benue-Congo	Igboid		FALSE		Delivered	---	---	---	data freeze 2	4292379	1257986	Done	Done	---	TRUE	FALSE	33.2	LAUNCHED	Often deleted
Ilocano	ilo	ilo	ilo	Latin				Austronesian	Northern Luzon	Iloko		FALSE		Delivered	---	---	---	data freeze 2	914638	2150003	Done	Done	---	FALSE	FALSE	45		
Indonesian	ind	ind	ind	Latin	198,990,000			Austronesian	Malayo-Chamic	Malayic		TRUE		Delivered	---	---	---	data freeze 2	---	15846962	Done	Done	---	TRUE	FALSE	51.1		
Iranian Persian	fas	pes	fas	Arabic	105,726,000			Indo-European	Iranian	Southwestern Iranian		FALSE		Delivered	---	---	---	data freeze 2	---	7827801	Done	Done	---	TRUE	FALSE	44.1		
Irish	gle	gle	gle	Latin			English	Indo-European	Celtic	Goidelic		FALSE		Delivered	---	---	---	data freeze 2	9248333	1002923	Done	Done	---	TRUE	FALSE	48		
Italian	ita	ita	ita	Latin	67,870,000			Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	44570519	Done	Done	---	TRUE	FALSE	40		
Japanese	jpn	jpn_Jpan	jpn	Hrkt	126,379,500			Japonic	Hachijo	Japanese		FALSE		Delivered	---	---	---	data freeze 2	---	5156267	Done	Done	---	TRUE	FALSE	34.2		
Javanese	jav	jav_Latn	jav	Latin				Austronesian	Malayo-Polynesian	Javanesic		TRUE		Delivered	---	---	---	data freeze 2	8610083	1455154	Done	Done	---	TRUE	FALSE	43.1		
Kabuverdianu	kea	kea	kea	Latin	1,195,000			Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	177716	5769	todo-P0	Done	---	TRUE	FALSE	40.7		
Kabyle	kab	kab_Latn	kab	Latin				Afro-Asiatic	Berber	Kabyle-Atlas	North Eastern Algeria dialect	FALSE		Delivered	Delivered	Delivered	---	---	---	918585	Done	manual complete	---	FALSE	FALSE	---		
Kachin | Jinghpo	kac	kac_Latn	kac	Latin				Sino-Tibetan	Tibeto-Burman	Jingphaw		FALSE		Delivered	---	---	---	data freeze 2	80081	1367893	Done	Done	---	FALSE	FALSE	14.5		
Kamba	kam	kam	kam	Latin	5,260,000			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	13363	57604	---	---	---	TRUE	FALSE	15.2		
Kannada	kan	kan_Knda	kan	Kannada	58644000			Dravidian	Tamil-Kannada	Kannada		FALSE		Delivered	---	---	---	data freeze 2	82538687	2193965	Done	Done	---	TRUE	FALSE	40.8		
Kanuri (Arabic script)	kau_Arab	knc_Arab	kau_Arab	Arabic				Nilo-Saharan	Saharan	Western	Yerwa (Central Kanuri)	FALSE		Delivered	Delivered	Delivered	Delivered	---	---	0	Done	manual complete	manual complete	FALSE	FALSE	---		
Kanuri (Latin script)	kau_Latn	knc_Latn	kau_Latn	Latin				Nilo-Saharan	Saharan	Western	Yerwa (Central Kanuri)	FALSE		Delivered	Delivered	Delivered	Delivered	---	---	0	Done	manual complete	manual complete	FALSE	FALSE	---		
Kashmiri (Arabic script)	kas_Arab	kas_Arab	kas_Arab	Perso-Arabic				Indo-European	Indo-Aryan	Northwestern Indo-Aryan	Kishtwari, Poguli	FALSE		Delivered	N/A	Delivered	Delivered	---	---	0	Done	manual complete	manual complete	FALSE	FALSE	---		
Kashmiri (Devanagari script)	kas_Deva	kas_Deva	kas_Deva	Devanagari				Indo-European	Indo-Aryan	Northwestern Indo-Aryan	Kishtwari, Poguli	FALSE		Delivered	N/A	Delivered	Delivered	---	---	0	Done	manual complete	manual complete	FALSE	FALSE	---		
Kazakh	kaz	kaz_Cyrl	kaz	Cyrillic				Turkic	Western Turkic	Aralo-Caspian		FALSE		Delivered	---	---	---	data freeze 2	108241120	0	todo-P0	Done	---	TRUE	FALSE	37.1		
Khmer	khm	khm	khm	Khmer	17,891,000			Austro-Asiatic	Khmeric	Khmer		FALSE		Delivered	---	---	---	data freeze 2	13636879	3076819	Done	Done	---	TRUE	FALSE	36.6		
Kikuyu	kik	kik	kik	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Sourthen Dialect	FALSE		Delivered	Delivered	Delivered	---	---	---	768597	Done	manual complete	---	FALSE	FALSE	---		
Kimbundu	kmb	kmb	kmb	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	123538	101186	Done	Done	---	FALSE	FALSE	13.2		
Kinyarwanda	kin	kin	kin	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	Ikinyanduga (standard Kinyarwanda)	FALSE		Delivered	Delivered	1/21	---	---	---	1979920	Done	manual complete	---	FALSE	FALSE	---		
Kongo	kon	kon	kon	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	223195	229193	Done	Done	---	FALSE	FALSE	23.7		
Korean	kor	kor	kor	Hangul				Koreanic	Korean	Korean		FALSE		Delivered	---	---	---	data freeze 2	---	6265845	Done	Done	---	TRUE	FALSE	36.6		
Kurdish (Kurmanji)	kur	kmr_Latn	kur	Latin				Indo-European	Iranian	Northwestern Iranian		FALSE		Delivered	---	---	---	data freeze 2	7530124	156506	Done	todo-P1	---	FALSE	FALSE	24		
Kyrgyz	kir	kir_Cyrl	kir	Cyrillic				Turkic	Western Turkic	Aralo-Caspian		FALSE		Delivered	---	---	---	data freeze 2	14973639	306994	Done	Done	---	TRUE	FALSE	27.3		
Lao	lao	lao_Laoo	lao	Lao	4,502,500			Kra-Dai	Tai	Lao		FALSE		Delivered	---	---	---	data freeze 2	4575235	1227560	Done	Done	---	TRUE	FALSE	38.5		
Latvian (Standard)	lav	lvs	lav	Latin				Indo-European	Balto-Slavic	Eastern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	2411373	Done	Done	---	TRUE	FALSE	36.1		
Lingala	lin	lin	lin	Latin				Atlantic-Congo	Benue-Congo	Northwest Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	752293	946843	Done	Done	---	TRUE	FALSE	29.7		
Lithuanian	lit	lit	lit	Latin				Indo-European	Balto-Slavic	Eastern Baltic		FALSE		Delivered	---	---	---	data freeze 2	---	3569978	Done	Done	---	TRUE	FALSE	39.9		Often deleted
Luxembourgish	ltz	ltz	ltz	Latin				Indo-European	Germanic	West Germanic		FALSE		Delivered	---	---	---	data freeze 2	7522723	449945	Done	Done	---	TRUE	FALSE	48.8		
Macedonian	mkd	mkd	mkd	Cyrillic				Indo-European	Balto-Slavic	Southeastern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	6065821	Done	Done	---	TRUE	FALSE	48.9		
Magahi	mag	mag	mag	Devanagari				Indo-European	Indo-Aryan	Eastern Indo-Aryan	Gaya	FALSE		Delivered	Delivered		Delivered	---	---	788531	Done	manual complete	---	FALSE	FALSE	---		
Maithili	mai	mai	mai	Devanagari				Indo-European	Indo-Aryan	Eastern Indo-Aryan	N/A	FALSE		Delivered	N/A	Delivered	---	---	---	1214242	todo-P1	todo-P1	---	FALSE	FALSE	---		
Malagasy	mlg	mlg	mlg	Latin				Austronesian	Basap-Greater Barito	Malagasic		FALSE		Delivered	---	---	---	data freeze 2	7095814	2820255	Done	Done	---	FALSE	FALSE	36.9		
Malay	msa	zlm	msa	Latin				Austronesian	Malayo-Chamic	Malayic		TRUE		Delivered	---	---	---	data freeze 2	303643465	3091200	Done	Done	---	TRUE	FALSE	50.7		
Malayalam	mal	mal_Mlym	mal	Malayalam	37,932,000			Dravidian	Tamil-Kannada	Tamil-Malayalam		FALSE		Delivered	---	---	---	data freeze 2	110280158	3197231	Done	Done	---	TRUE	FALSE	41.7		
Maltese	mlt	mlt	mlt	Latin				Afro-Asiatic	Semitic	Arabic		FALSE		Delivered	---	---	---	data freeze 2	7917732	863469	Done	Done	---	TRUE	FALSE	60.7		
Maori	mri	mri	mri	Latin	159,700			Austronesian	Eastern Malayo-Polynesian	Tokelau-Fijian		FALSE		Delivered	---	---	Delivered	data freeze 2	964255	771052	Done	Done	---	TRUE	FALSE	21.3		Often deleted
Marathi	mar	mar	mar	Devanagari	99,132,000			Indo-European	Indo-Aryan	Southern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	75524160	2249340	Done	Done	---	TRUE	FALSE	41.8		
Meitei	mni	mni_Mtei	mni	Meitei				Sino-Tibetan	Tibeto-Burman	Meitei	N/A	FALSE		Delivered	Delivered	ETA 4 Feb	Start Jan	---	---	22	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		
Mongolian	mon	mon_Cyrl	mon	Cyrillic				Austro-Asiatic	Monic	Mon		FALSE		Delivered	---	---	---	data freeze 2	43934725	230771	Done	Done	---	TRUE	FALSE	34		
Nepali	npi	npi	npi	Devanagari	24,720,000			Indo-European	Indo-Aryan	Eastern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	51095588	520757	Done	Done	---	TRUE	FALSE	46.4		
North Azerbaijani	azj	azj	azj	Perso-Arabic				Turkic	Southern Turkic	Azerbaijani		FALSE		Delivered	---	---	---	data freeze 2	135388617	320323	Done	todo-P1	---	TRUE	FALSE	28.2		Often deleted
Northern Sotho	nso	nso	nso	Latin	13,731,000			Atlantic-Congo	Benue-Congo	Central Narrow Bantu		FALSE		Delivered	---	---	---	data freeze 2	1084929	1584047	Done	Done	---	TRUE	FALSE	44.7		
Nynorsk	nno	nno	nno	Latin				Indo-European	Germanic	North Germanic	Nynorsk	FALSE		Delivered	Delivered	1/21	---	---	---	970789	Done	manual complete	---	FALSE	FALSE	---		
Occitan	oci	oci	oci	Latin			French	Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	8822	todo-P0	Done	---	TRUE	FALSE	58.1	LAUNCHED	No translation
Odia	ory	ory	ory	Oriya	39,761,500			Indo-European	Indo-Aryan	Eastern Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	16034578	2240524	automated complete	to format	---	TRUE	FALSE	42.6		
Oromo	orm	orm	orm	Latin				Afro-Asiatic	Cushitic	Oromo		FALSE		Delivered	---	---	---	data freeze 2	3510185	173861	Done	Done	---	TRUE	FALSE	26.6		
Pashto	pus	pus	pus	Arabic				Indo-European	Iranian	Southeastern Iranian		FALSE		Delivered	---	---	Delivered	data freeze 2	10230891	1994	todo-P0	Done	---	TRUE	FALSE	32.7		
Polish	pol	pol	pol	Latin	40,646,000			Indo-European	Balto-Slavic	Western Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	47111018	Done	Done	---	TRUE	FALSE	36.1		
Portuguese	por	por	por	Latin	257,647,000			Indo-European	Romance	Western Romance		FALSE		Delivered	---	---	---	data freeze 2	---	44563671	Done	Done	---	TRUE	FALSE	56.4		
Punjabi	pan	pan_Guru	pan	Guru				Indo-European	Indo-Aryan	Western Indo-Aryan		FALSE		Delivered	---	---	---	data freeze 2	12482408	1899654	Done	Done	---	TRUE	FALSE	47.1		
Quechua (Ayacucho)	que	quy	que	Latin				Quechuan	Peripheral Quechua	Chinchay		TRUE		Delivered	---	---	---	data freeze 2	2753752	147695	Done	todo-P1	---	TRUE	FALSE	10.5		
Romanian	ron	ron	ron	Latin				Indo-European	Romance	Eastern Romance		FALSE		Delivered	---	---	---	data freeze 2	---	57836477	Done	Done	---	TRUE	FALSE	50.3		
Rundi	run	run	run	Latin				Atlantic-Congo	Benue-Congo	Central Narrow Bantu	N/A	FALSE		Delivered	N/A	Delivered	---	---	---	897235	todo-P1	todo-P1	---	FALSE	FALSE	---		
Russian	rus	rus	rus	Cyrillic	257,979,000			Indo-European	Balto-Slavic	Eastern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	35239006	Done	Done	---	TRUE	FALSE	41.7		
Samoan	smo	smo	smo	Latin				Austronesian	Central-Eastern Malayo-Polynesian	Tokelau-Fijian	Formal Samoan	FALSE		Delivered	Delivered	TBC	---	---	---	1658372	Done	manual complete	---	FALSE	FALSE	---		
Sango	sag	sag	sag	Latin				Atlantic-Congo	Ubangi	Ngbandic	No dialects known; national language	FALSE		Delivered	Delivered	Delivered	---	---	---	911191	Done	manual complete	---	FALSE	FALSE	---		
Sanskrit	san	san	san	Devanagari				Indo-European	Indo-Aryan	Sanskrit	N/A	FALSE		Delivered	Delivered	Delivered	---	---	---	7466094	Done	manual complete	---	FALSE	FALSE	---		
Santali	sat	sat	sat	Ol Chiki				Austro-Asiatic	Mundaic	Kherwari	N/A	FALSE		Delivered	Delivered	1/24	---	---	---	322609	automated complete	to format	---	FALSE	FALSE	---		
Sardinian	srd	srd	srd	Latin			Italian	Indo-European	Romance	Southern Romance	Logudorese and Campidanese dialects. Both dialects have written standards and around half a million speakers.	FALSE		Delivered	Delivered	Delivered	Start Jan	---	---	750	todo-P0	todo-P1	manual complete	FALSE	FALSE	---		No translation
Scottish Gaelic	gla	gla	gla	Latin			English	Indo-European	Celtic	Goidelic		FALSE		Delivered	---	---	---	data freeze 2	3160865	1267662	Done	Done	---	FALSE	FALSE	31.6		
Serbian	srp_Cyrl	srp_Cyrl	srp_Cyrl	Cyrillic				Indo-European	Balto-Slavic	Southwestern Slavic		FALSE		Delivered	---	---	---	data freeze 2	---	0	Done	Done	---	TRUE	FALSE	50.6		
Shan	shn	shn	shn	Burmese				Kra-Dai	Tai	Shan		FALSE		Delivered	---	---	Delivered	data freeze 2	---	767721	Done	Done	---	FALSE	FALSE	---		
